s1.age,s1.zipcode,s1.gender,base,smokers,drinkers
36,33130,f,58,4,30
37,33130,f,61,6,24
38,33130,f,76,9,39
39,33130,f,68,3,25
40,33130,f,59,6,25
41,33130,f,53,3,19
42,33130,f,55,3,29
43,33130,f,45,2,18
44,33130,f,56,4,25
45,33130,f,43,3,18
46,33130,f,70,4,32
47,33130,f,41,5,17
48,33130,f,59,2,30
49,33130,f,51,5,23
50,33130,f,48,4,24
51,33130,f,38,4,19
52,33130,f,29,1,8
53,33130,f,37,5,17
54,33130,f,37,2,13
55,33130,f,31,1,14
56,33130,f,30,0,7
57,33130,f,25,0,6
58,33130,f,19,1,8
59,33130,f,12,0,2
60,33130,f,10,0,3
61,33130,f,9,0,4
62,33130,f,13,0,6
63,33130,f,9,1,4
64,33130,f,9,1,5
65,33130,f,5,0,1
18,33130,m,30,6,14
19,33130,m,120,11,45
20,33130,m,138,9,48
21,33130,m,158,11,52
22,33130,m,216,8,72
23,33130,m,235,13,83
24,33130,m,224,13,78
25,33130,m,218,12,82
26,33130,m,225,8,77
27,33130,m,242,9,83
28,33130,m,257,16,91
29,33130,m,232,10,69
30,33130,m,194,12,65
31,33130,m,203,11,74
32,33130,m,188,11,61
33,33130,m,232,10,66
34,33130,m,172,8,45
35,33130,m,179,4,62
36,33130,m,187,8,62
37,33130,m,155,8,61
38,33130,m,160,7,56
39,33130,m,147,6,43
40,33130,m,121,2,38
41,33130,m,95,4,33
42,33130,m,118,3,37
43,33130,m,107,8,45
44,33130,m,107,8,37
45,33130,m,83,4,29
46,33130,m,72,4,21
47,33130,m,71,4,21
48,33130,m,84,8,28
49,33130,m,69,1,27
50,33130,m,50,1,14
51,33130,m,47,4,19
52,33130,m,47,3,16
53,33130,m,33,1,12
54,33130,m,31,2,8
55,33130,m,34,6,14
56,33130,m,34,2,13
57,33130,m,27,2,13
58,33130,m,24,1,6
59,33130,m,16,0,6
60,33130,m,16,0,3
61,33130,m,24,3,5
62,33130,m,4,0,3
63,33130,m,6,0,1
64,33130,m,5,0,0
65,33130,m,6,0,0
18,98102,f,15,0,10
19,98102,f,36,4,14
20,98102,f,49,3,16
21,98102,f,48,3,20
22,98102,f,85,3,36
23,98102,f,80,11,38
24,98102,f,113,13,55
25,98102,f,107,10,51
26,98102,f,145,12,71
27,98102,f,108,5,44
28,98102,f,122,8,49
29,98102,f,134,11,58
30,98102,f,99,7,35
31,98102,f,95,6,39
32,98102,f,82,2,34
33,98102,f,92,7,40
34,98102,f,92,6,36
35,98102,f,94,5,45
36,98102,f,89,1,39
37,98102,f,89,11,43
38,98102,f,99,7,39
39,98102,f,98,4,43
40,98102,f,81,2,24
41,98102,f,90,3,36
42,98102,f,69,8,32
43,98102,f,74,4,29
44,98102,f,91,6,44
45,98102,f,83,2,39
46,98102,f,72,3,22
47,98102,f,58,3,25
48,98102,f,66,8,27
49,98102,f,52,2,26
50,98102,f,53,1,18
51,98102,f,61,2,28
52,98102,f,64,2,23
53,98102,f,67,1,27
54,98102,f,48,0,23
55,98102,f,43,3,17
56,98102,f,37,1,14
57,98102,f,35,0,15
58,98102,f,35,1,15
59,98102,f,27,1,11
60,98102,f,31,0,10
61,98102,f,15,0,7
62,98102,f,19,0,4
63,98102,f,8,0,2
64,98102,f,13,0,6
65,98102,f,15,0,5
18,98102,m,13,2,8
19,98102,m,67,6,26
20,98102,m,103,10,38
21,98102,m,127,6,42
22,98102,m,187,8,77
23,98102,m,241,16,107
24,98102,m,293,12,112
25,98102,m,305,22,126
26,98102,m,374,22,145
27,98102,m,391,16,130
28,98102,m,361,15,123
29,98102,m,387,21,137
30,98102,m,323,14,94
31,98102,m,276,19,79
32,98102,m,273,21,78
33,98102,m,263,11,68
34,98102,m,279,6,90
35,98102,m,183,17,73
36,98102,m,195,7,60
37,98102,m,225,11,66
38,98102,m,249,21,63
39,98102,m,200,7,50
40,98102,m,181,8,55
41,98102,m,170,9,61
42,98102,m,160,6,55
43,98102,m,133,4,47
44,98102,m,146,8,46
45,98102,m,130,9,53
46,98102,m,112,10,42
47,98102,m,125,6,51
48,98102,m,144,5,45
49,98102,m,102,5,34
50,98102,m,110,9,40
51,98102,m,96,7,38
52,98102,m,81,1,28
53,98102,m,78,0,19
54,98102,m,70,2,25
55,98102,m,75,4,22
56,98102,m,63,0,24
57,98102,m,52,3,23
58,98102,m,53,4,21
59,98102,m,36,0,10
60,98102,m,36,2,13
61,98102,m,31,1,9
62,98102,m,27,3,8
63,98102,m,31,1,6
64,98102,m,15,1,3
65,98102,m,13,1,6
18,85003,f,23,3,15
19,85003,f,74,6,27
20,85003,f,98,6,36
21,85003,f,98,6,40
22,85003,f,128,8,47
23,85003,f,125,4,59
24,85003,f,143,14,66
25,85003,f,161,16,69
