id,scrape,zipcode,radius,age,gender,result,url,created_at
53,base,30309,10,22,m,175,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=f&MinAge=22&country=1&starsign=&religion=&seekinga=m&MaxAge=22&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:10-05:00
54,base,30309,10,23,m,184,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=23&iama=f&religion=&searchtype=&City=30309&drugs=&MaxAge=23&seekinga=m&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:11-05:00
55,base,30309,10,24,m,219,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=f&MinAge=24&country=1&starsign=&religion=&seekinga=m&MaxAge=24&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:12-05:00
56,base,30309,10,25,m,213,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=25&iama=f&religion=&searchtype=&City=30309&drugs=&MaxAge=25&seekinga=m&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:13-05:00
57,base,30309,10,26,m,234,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=f&MinAge=26&country=1&starsign=&religion=&seekinga=m&MaxAge=26&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:14-05:00
58,base,30309,10,27,m,304,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=27&iama=f&religion=&searchtype=&City=30309&drugs=&MaxAge=27&seekinga=m&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:15-05:00
59,base,30309,10,28,m,295,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=f&MinAge=28&country=1&starsign=&religion=&seekinga=m&MaxAge=28&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:16-05:00
60,base,30309,10,29,m,313,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=29&iama=f&religion=&searchtype=&City=30309&drugs=&MaxAge=29&seekinga=m&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:17-05:00
61,base,30309,10,30,m,250,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=f&MinAge=30&country=1&starsign=&religion=&seekinga=m&MaxAge=30&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:18-05:00
62,base,30309,10,31,m,272,http://www.plentyoffish.com/advancedsearch.aspx?smarts=&state=&thnicity=&wantchildrem=&income=&height=&viewtype=&smoke=nil&cmdSearch=Go+Fishing&heightb=&starsign=&country=1&MinAge=31&iama=f&religion=&searchtype=&City=30309&drugs=&MaxAge=31&seekinga=m&haschildren=&body=&interests=&drink=&miles=10,2009-01-22T00:01:19-05:00
63,base,30309,10,32,m,249,http://www.plentyoffish.com/advancedsearch.aspx?state=&smarts=&wantchildrem=&thnicity=&height=&income=&smoke=nil&viewtype=&heightb=&cmdSearch=Go+Fishing&iama=f&MinAge=32&country=1&starsign=&religion=&seekinga=m&MaxAge=32&drugs=&City=30309&searchtype=&haschildren=&interests=&body=&miles=10&drink=,2009-01-22T00:01:20-05:00
